age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,poutcome,y
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,unknown,1
30,services,married,secondary,no,3929,yes,no,cellular,20,nov,593,1,unknown,1
46,management,divorced,tertiary,no,624,no,no,cellular,18,mar,420,1,other,1
32,admin.,married,tertiary,no,653,no,no,cellular,2,jun,84,1,unknown,1
36,blue-collar,married,primary,no,319,yes,no,cellular,13,may,774,2,failure,1
64,management,married,unknown,no,2352,no,no,cellular,4,may,153,2,success,1
45,management,married,tertiary,no,655,no,no,unknown,20,jun,693,3,unknown,1
49,entrepreneur,married,primary,no,137,yes,no,cellular,14,may,384,7,unknown,0
30,management,single,tertiary,no,19796,no,no,cellular,20,nov,41,1,unknown,0
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,unknown,1
45,blue-collar,married,secondary,no,640,yes,no,cellular,4,may,447,1,unknown,1
48,blue-collar,married,primary,no,476,no,no,cellular,11,aug,856,3,unknown,1
58,entrepreneur,married,secondary,no,3,no,no,unknown,19,jun,188,5,unknown,0
29,housemaid,single,secondary,no,718,yes,no,unknown,8,may,91,3,unknown,0
77,management,married,unknown,no,1780,yes,no,cellular,23,apr,361,2,success,1
29,student,single,tertiary,no,3054,no,no,cellular,2,nov,204,1,success,0
40,management,married,tertiary,no,11,yes,no,cellular,18,nov,65,2,unknown,0
41,entrepreneur,married,secondary,no,2480,yes,no,unknown,11,jun,394,2,unknown,0
35,admin.,single,secondary,no,414,yes,no,unknown,13,may,386,2,unknown,0
29,unemployed,single,secondary,no,1055,no,no,cellular,23,sep,427,1,failure,1
32,admin.,single,tertiary,no,3188,no,no,cellular,5,feb,65,2,other,0
35,unemployed,single,tertiary,no,415,no,no,cellular,4,aug,462,1,success,1
30,services,single,secondary,no,117,no,no,cellular,28,jan,135,1,unknown,0
48,technician,married,secondary,no,568,yes,no,cellular,2,sep,378,2,success,1
29,services,divorced,secondary,no,161,yes,yes,cellular,12,may,286,5,unknown,0
57,retired,divorced,tertiary,no,734,no,no,cellular,6,aug,1357,4,unknown,1
20,student,single,secondary,no,502,no,no,cellular,30,apr,261,1,unknown,1
