X1,X2,X3,X4,X5,X6,Y
1.26,-0.75,2.65,2.81,3.08,-2.93,0
-1.68,1.32,1.66,2.99,2.21,-1.12,0
-0.4,1.77,0.81,2.38,0.42,-1.07,1
-1.43,0.63,1.39,3.44,3.64,-0.09,0
0.19,-0.44,2.85,2.06,1.79,-2.66,0
1.81,2.25,0.08,4.53,5.14,2.6,0
-0.89,1.37,0.41,2.1,1.82,0.11,0
0.79,-0.39,3.03,3.96,4.01,-1.99,0
0.77,0.08,-0.21,-0.59,-3.38,-1.48,1
0.64,1.0,0.25,4.27,4.57,2.09,0
-0.23,0.7,1.06,4.18,3.09,2.65,0
-0.16,-0.55,1.33,2.36,2.74,-0.85,0
0.14,-0.17,0.16,0.79,-0.74,-0.79,0
0.21,1.31,0.22,4.02,3.34,2.07,0
0.16,0.75,1.86,3.13,2.96,-0.8,0
0.78,-2.14,0.86,-1.36,-2.87,-2.93,1
-0.13,2.66,-3.89,-3.45,-6.26,3.3,1
0.55,0.4,1.33,3.72,4.45,-0.2,0
0.3,-0.2,1.43,2.75,3.66,-0.99,0
-1.12,-0.02,0.53,0.81,1.54,-0.19,0
-0.92,0.78,-0.69,-2.28,-4.06,-2.43,1
0.57,-0.74,1.34,1.66,3.83,0.15,0
0.48,0.05,0.79,2.18,2.77,1.33,0
1.08,0.96,2.01,3.65,6.53,-0.87,0
-2.23,1.0,0.27,2.95,4.15,2.72,0
0.61,-0.54,1.42,2.98,4.32,-2.39,0
-2.41,0.34,1.12,3.04,4.72,0.22,0
-0.06,0.9,1.13,2.59,3.4,0.33,0
-2.48,-0.08,1.61,2.28,3.57,-1.66,0
1.35,2.05,0.5,4.46,6.16,3.74,0
-0.86,1.28,0.72,1.71,2.32,-0.25,0
2.17,-0.65,2.5,3.83,5.57,-1.35,0
0.21,-0.23,2.44,3.6,4.38,-1.7,0
0.84,-0.77,2.13,2.66,3.0,-1.51,0
0.57,0.33,0.47,2.09,2.11,1.72,0
1.8,0.31,1.4,3.99,5.48,0.75,0
-0.03,0.18,0.78,0.42,-0.1,-1.79,1
-1.14,0.18,3.44,3.7,3.22,-3.48,0
-1.19,0.34,-0.26,0.19,-2.01,2.35,0
-0.92,-1.06,3.34,4.7,4.78,-3.9,0
0.05,2.21,1.05,3.75,5.57,0.2,0
0.35,-0.49,1.57,0.2,0.15,-4.19,1
-0.26,0.44,2.61,5.06,6.51,-1.74,0
0.16,-1.2,3.75,5.27,5.96,-2.42,0
1.55,0.83,1.28,2.77,3.77,-1.26,0
-1.77,-0.33,4.05,7.85,11.59,-0.69,0
-0.55,0.11,2.37,4.19,4.9,-0.85,0
1.03,0.87,-0.84,-2.5,-4.13,1.2,1
-1.07,-0.08,0.37,2.13,1.91,0.87,0
1.04,1.22,1.24,1.8,1.05,-0.81,1
-0.42,0.88,0.82,2.61,3.42,0.73,0
-0.58,0.88,1.57,3.51,4.18,0.64,0
-0.19,0.55,0.95,2.29,3.17,-1.9,0
0.17,1.5,-0.1,4.21,2.6,2.89,0
-0.34,-0.3,2.38,3.4,5.02,-2.78,0
1.52,1.02,1.59,5.84,8.51,1.92,0
-0.36,-1.41,2.64,3.7,5.96,-1.63,0
1.2,1.53,0.46,0.74,0.37,-1.08,1
1.1,1.03,2.23,3.94,5.62,-2.05,0
-0.2,-0.87,2.31,3.88,1.75,-1.57,0
1.4,0.34,1.59,2.17,2.63,-1.21,1
1.85,0.8,4.5,6.68,8.83,-3.97,0
0.66,0.51,-1.24,-0.94,-4.8,4.43,1
0.89,-0.27,0.28,0.37,-0.8,-1.72,1
-1.73,-0.04,-0.94,-4.26,-7.34,-1.79,1
0.61,0.87,1.15,1.96,2.58,-2.06,1
1.13,-0.17,-0.45,0.1,-0.1,-0.3,1
1.86,0.21,1.25,2.21,2.08,0.03,1
-0.42,0.74,2.71,4.96,5.11,-1.63,0
0.24,-0.64,3.04,3.3,3.32,-3.84,0
1.23,-0.3,1.17,1.81,1.88,-0.94,0
-0.66,-2.16,1.9,0.51,-0.51,-0.65,0
0.67,-0.84,1.97,2.23,3.21,-1.48,0
-2.9,-2.12,3.54,3.34,3.37,-2.47,0
0.63,0.47,1.52,5.03,7.57,2.95,0
-1.61,1.27,1.57,4.82,6.49,2.5,0
-1.64,-0.65,3.12,4.54,6.69,-3.34,0
-0.31,-0.49,0.97,1.43,3.52,-0.59,0
-0.49,-2.19,3.3,7.39,9.66,-2.25,0
-0.0,0.45,2.21,4.83,6.28,-0.21,0
-2.53,-0.62,1.58,3.32,4.17,-0.72,0
-1.08,-0.58,3.28,5.07,5.38,-2.78,0
1.83,0.1,1.58,3.92,4.28,0.65,0
-0.0,-0.57,2.35,4.95,6.57,-1.81,0
-1.06,0.39,1.43,3.68,5.24,-0.32,0
0.72,0.13,2.13,3.08,3.09,-1.78,0
-0.23,-0.04,1.02,0.85,1.19,-1.84,0
0.79,0.89,-0.02,1.79,2.14,0.56,0
-0.34,0.03,1.41,3.63,4.63,-1.12,0
1.91,-1.36,1.6,-0.45,-2.93,-3.68,1
0.2,1.17,0.35,2.74,4.01,1.48,0
0.35,0.71,1.51,3.62,4.72,0.29,0
-1.82,0.32,2.36,4.43,6.91,-2.6,0
-0.95,-0.96,2.46,1.89,4.36,-2.6,0
1.05,-0.75,0.76,1.79,1.41,-2.64,0
-0.85,0.07,1.62,3.43,3.37,-1.19,0
0.95,0.6,2.33,4.54,3.47,-2.1,0
-1.74,-1.45,2.64,3.09,4.64,-3.95,0
-0.12,2.21,0.19,2.86,4.06,3.34,0
0.85,-0.62,1.65,1.84,3.68,-4.01,0
0.09,0.52,2.32,6.39,6.14,1.48,0
-0.39,0.23,0.97,3.94,4.87,2.23,0
0.88,1.61,0.13,5.19,6.29,2.83,0
1.78,-0.68,2.48,5.25,7.36,-1.62,0
0.47,-0.89,3.38,4.22,5.41,-2.18,0
1.56,-0.51,0.53,0.54,0.89,-0.05,1
0.99,-1.47,2.69,3.84,3.2,-1.16,0
-0.56,1.53,1.84,6.4,8.43,2.77,0
0.27,0.96,0.11,1.35,1.47,1.79,0
1.5,-0.06,1.03,1.13,2.09,-3.74,1
-1.2,-0.55,2.27,2.39,3.07,-1.4,0
-1.16,1.37,0.47,2.39,4.45,0.28,0
-0.57,1.2,-0.39,0.6,-0.01,1.43,0
-2.33,-0.81,0.65,0.04,-1.21,-2.61,0
-0.17,0.68,0.66,1.29,2.32,-0.2,0
0.77,0.17,1.36,1.98,2.27,-0.76,0
0.07,-0.92,2.16,3.74,4.96,-1.78,0
-1.61,0.02,0.95,2.94,3.24,2.21,0
-2.25,0.13,0.04,-0.47,-2.58,0.61,0
0.22,1.02,0.05,1.5,0.07,1.64,0
0.7,0.49,1.98,4.98,6.45,-0.71,0
1.18,-1.41,2.18,1.89,2.19,-1.29,0
-0.28,-0.67,0.55,-0.82,-1.96,-2.19,1
-1.76,0.2,1.8,4.38,6.98,-0.41,0
0.19,-1.34,1.44,0.88,0.78,-2.09,0
-0.9,1.08,1.19,3.01,4.31,-2.13,0
-1.76,-0.77,1.72,0.99,0.59,-2.29,0
1.16,-0.83,1.25,2.08,2.5,-0.51,0
-1.77,-0.3,2.71,3.63,4.11,-2.75,0
0.9,-1.02,2.52,4.11,4.9,-2.26,0
-1.1,-0.88,3.61,2.57,3.88,-3.8,0
0.38,1.91,-0.01,1.91,4.28,2.07,0
0.63,0.42,0.82,3.2,5.06,2.08,0
0.67,0.73,2.07,3.7,4.55,-1.64,0
-0.55,-0.63,2.09,1.97,2.86,-3.79,0
